Plant Name,Capacity (MW),Project Status,Year of Commission,Technology,State,Country,Region,Estimated Annual CO2 Emission from Power Generation (1000 ton),Deal type,FDI?,Investing Company,Investing Country Ownership %,FDI Deal Type,Involving Chinese Policy bank?,Lender,Borrower,Source ,,,,,,
Campo Dos Ventos 3,29,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Campo Dos Ventos 5,27,In Operation,2017,Wind,RN,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Candiota-C,350,In Operation,2011,Coal,RS,BRAZIL,LAC,1613,Policy bank only,No,NA,NA,NA,Yes,CDB,Government,http://investimentos.desenvolvimento.gov.br/public/arquivo/arq1272637600.pdf,,http://news.zurichna.com/article/815ffab4e435,,,,
Canoa-Quebrada Wind-2,59,In Operation,2017,Wind,CE,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Canoas-I,83,In Operation,2017,Hydropower,SP,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,100,M&A,No,NA,NA,http://world.people.com.cn/n1/2016/1012/c1002-28770313.html,,,,,,
Canoas-Ii,72,In Operation,2017,Hydropower,SP,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,100,M&A,No,NA,NA,http://world.people.com.cn/n1/2016/1012/c1002-28770313.html,,,,,,
Cao Ngan,100,In Operation,2006,Coal,Thai Nguyen,VIETNAM,Southeast Asia,504,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://en.people.cn/200212/31/eng20021231_109337.shtml,,http://siteresources.worldbank.org/INTGUARANTEES/Resources/BotswanapowerMorupule.pdf,http://bw.china-embassy.org/eng/jmwl/t568176.htm,http://globalenergyobservatory.org/geoid/41180,,
Cape Bridgewater,58,In Operation,2008,Wind,VIC,AUSTRALIA,Oceania,0,Greenfield,Yes,State Power Investment Corporation,100,Greenfield,No,NA,NA,"http://www.pacifichydro.com.au/english/projects/operations/pwep/cape-bridgewater/, https://www.aussierenewables.com.au/directory/cape-bridgewater-wind-farm-35.html",,,,,,
Cape Nelson South,44,In Operation,2009,Wind,VIC,AUSTRALIA,Oceania,0,Greenfield,Yes,State Power Investment Corporation,Not Found,Greenfield,No,NA,NA,http://www.pacifichydro.com.au/english/projects/operations/pwep/cape-nelson-south/,,,,,,
Capivara,640,In Operation,2017,Hydropower,SP,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,100,M&A,No,NA,NA,"http://globalenergyobservatory.org/geoid/43393 , https://www.ctgbr.com.br/en/portfolio-item/hydropower/","http://globalenergyobservatory.org/geoid/43393 , https://www.ctgbr.com.br/en/portfolio-item/hydropower/",,,,,
Carioba,32,In Operation,2017,Oil,SP,BRAZIL,LAC,111,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Carmody'S Hill,140,Under Planning,Pending,Wind,SA,AUSTRALIA,Oceania,0,Greenfield,Yes,State Power Investment Corporation,Not found,Greenfield,No,NA,NA,http://pacifichydro.com/english/projects/australia/crowlands-wind-farm/,,,,,,
Carn Hill,14,In Operation,2013,Wind,County Antrim,UK,Europe/Central Asia,0,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,https://wallstreetcn.com/articles/280339,,,,,,
Cassano Allo Ionio,13,In Operation,2011,Solar,,ITALY,Europe/Central Asia,0,Greenfield,Yes,Hareon Solar,100,Greenfield,No,NA,NA,,,,,,,
Castellaneta Edp,16,In Operation,2016,Wind,,ITALY,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,49,M&A,No,NA,NA,http://www.mofcom.gov.cn/article/i/jyjl/m/201601/20160101228309.shtml,,,,,,
